Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,159.67930603027344,0.8666752576828003,0.1847434,0.2036726,0.27413237,0.09846449,0.52441996,0.0011962056,-0.04125502,0.7514129276303065,Accepted
HiResCAM,1.0,139.50279235839844,0.8666752576828003,0.13157442,0.17793721,0.26769066,0.048215915,0.5939893,0.00067763403,0.083122,0.9800736709911616,Accepted
GradCAMElementWise,0.9987244606018066,79.53733825683594,0.8666752576828003,0.07545638,0.1014507,0.15775412,0.026259378,0.35176945,0.0,0.13190816,0.9997875486128457,Accepted
GradCAMPlusPlus,1.0,118.90863037109375,0.8666752576828003,0.11770597,0.15166917,0.21964276,0.0601155,0.45604628,0.00022530556,0.09599568,0.9928506023226897,Accepted
XGradCAM,1.0,131.1932373046875,0.8666752576828003,0.12873258,0.16733831,0.21700406,0.07515703,0.42581654,0.000120043755,0.07970415,0.9743656748215487,Accepted
AblationCAM,1.0,165.3070526123047,0.8666752576828003,0.1795483,0.21085085,0.29879948,0.08629586,0.6116509,0.00039190054,-0.018392727,0.39289964022095214,Accepted
ScoreCAM,0.983418345451355,224.29022216796875,0.8666752576828003,0.23795003,0.28608447,0.41283274,0.092053816,0.89308333,0.0,-0.05896753,0.9010353753081386,Accepted
EigenCAM,0.9987244606018066,29.439441680908203,0.8666752576828003,0.026975304,0.037550308,0.0570077,0.004269168,0.13610211,0.0,0.06525549,0.9321777559811084,Accepted
EigenGradCAM,1.0,76.24822998046875,0.8666752576828003,0.058856167,0.097255394,0.13380396,0.025029257,0.29498264,0.00023102015,0.118378244,0.999103002885406,Accepted
LayerCAM,0.9987244606018066,79.53733825683594,0.8666752576828003,0.07545638,0.1014507,0.15775412,0.026259378,0.35176945,0.0,0.13190816,0.9997875486128457,Accepted
FullGrad,0.9987244606018066,90.15767669677734,0.8666752576828003,0.09091684,0.114997044,0.17122129,0.038390588,0.37004787,0.0,0.013012974,0.28399128301691123,Accepted
KPCA_CAM,0.9413265585899353,34.87419509887695,0.8666752576828003,0.03745626,0.044482395,0.06495255,0.014051467,0.14031756,0.0,0.18415767,0.9999997926894646,Accepted
FEM,0.9502550959587097,50.396236419677734,0.8666752576828003,0.039847948,0.06428091,0.09380105,0.011558008,0.21540013,0.0,-0.011703199,0.25646782401321033,Accepted
ShapleyCAM,1.0,169.03512573242188,0.8666752576828003,0.1849794,0.21560603,0.31873107,0.084514946,0.63574356,0.00031346083,0.054028425,0.8693351510490444,Accepted
FinerCAM,1.0,185.355712890625,0.8666752576828003,0.18738781,0.2364231,0.34515044,0.084404215,0.7162276,6.701052e-05,0.04387251,0.7802000123784851,Accepted
