Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,124.59600830078125,0.76182621717453,0.12287699,0.15892348,0.2342498,0.05887618,0.496181,0.0003849864,0.03464196,0.6673143819698768,Accepted
HiResCAM,1.0,54.472068786621094,0.76182621717453,0.048280746,0.069479674,0.09126277,0.023515113,0.19209489,1.2572855e-05,0.12249419,0.9994124946796292,Accepted
GradCAMElementWise,1.0,65.80855560302734,0.76182621717453,0.069146276,0.08393948,0.1249723,0.026471555,0.2679959,6.284565e-05,0.16680372,0.9999973468061375,Accepted
GradCAMPlusPlus,1.0,164.23968505859375,0.76182621717453,0.16522467,0.20948942,0.318741,0.06986848,0.6860869,4.582107e-05,-0.0040701535,0.09059033695170227,Accepted
XGradCAM,1.0,106.1921615600586,0.76182621717453,0.11529636,0.13544919,0.1887346,0.052624114,0.38298264,1.3828278e-05,-0.007083142,0.15696668028505278,Accepted
AblationCAM,0.9987244606018066,45.13128662109375,0.76182621717453,0.044539914,0.057565417,0.081075884,0.02113951,0.16871342,0.0,0.024242327,0.5021017841896152,Accepted
ScoreCAM,0.9987244606018066,38.02843475341797,0.76182621717453,0.034344777,0.048505656,0.057686392,0.01741789,0.11639473,0.0,0.09319289,0.9909701691379577,Accepted
EigenCAM,1.0,92.01863098144531,0.76182621717453,0.10832696,0.1173707,0.17757618,0.049267057,0.36285752,3.516674e-06,0.19148998,0.9999999345525772,Accepted
EigenGradCAM,1.0,94.1993637084961,0.76182621717453,0.08696151,0.12015225,0.17735203,0.031027371,0.39627728,0.00017560646,-0.03837254,0.7167788572609426,Accepted
LayerCAM,1.0,65.80855560302734,0.76182621717453,0.069146276,0.08393948,0.1249723,0.026471555,0.2679959,6.284565e-05,0.16680372,0.9999973468061375,Accepted
FullGrad,0.9987244606018066,87.78370666503906,0.76182621717453,0.08027336,0.111969024,0.18303612,0.03396871,0.3842007,0.0,0.15703264,0.9999900072825585,Accepted
KPCA_CAM,1.0,147.5142059326172,0.76182621717453,0.1821837,0.18815589,0.2704182,0.08822958,0.416958,0.001680553,-0.053559724,0.8659593756851266,Accepted
FEM,1.0,46.95705795288086,0.76182621717453,0.054534692,0.059894208,0.08510852,0.028957214,0.16412847,5.9604645e-08,0.119158074,0.9991712769463064,Accepted
ShapleyCAM,1.0,69.44779205322266,0.76182621717453,0.082592905,0.08858137,0.1295951,0.039953373,0.25252348,0.00035092235,0.01984365,0.420962806411766,Accepted
FinerCAM,1.0,233.93661499023438,0.76182621717453,0.2601183,0.2983885,0.42336804,0.12587284,0.8693572,0.00032903254,0.03469997,0.668122783771814,Accepted
