Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,95.97880554199219,1.4066694974899292,0.08384359,0.12242194,0.19660184,0.030100355,0.4338912,4.0479004e-05,0.013177007,0.2874133301189523,Accepted
HiResCAM,1.0,91.79973602294922,1.4066694974899292,0.07698271,0.11709149,0.17528862,0.025732376,0.39160687,2.9355288e-05,0.02653126,0.5418032531396317,Accepted
GradCAMElementWise,1.0,58.463050842285156,1.4066694974899292,0.05390145,0.07457023,0.103404865,0.028504185,0.21571955,3.1888485e-06,0.058703255,0.8995107774531007,Accepted
GradCAMPlusPlus,1.0,127.40093994140625,1.4066694974899292,0.13776837,0.16250119,0.25517476,0.05556376,0.5348761,8.788705e-05,0.04502935,0.79213230825396,Accepted
XGradCAM,1.0,137.6246337890625,1.4066694974899292,0.1397238,0.17554162,0.24325632,0.068117976,0.50238764,0.0004950613,0.10649094,0.9971686890061106,Accepted
AblationCAM,1.0,149.8028564453125,1.4066694974899292,0.16960001,0.19107507,0.28863263,0.060627252,0.62585676,0.00013856217,0.02721364,0.5532882968567523,Accepted
ScoreCAM,0.9987244606018066,91.86787414550781,1.4066694974899292,0.10308869,0.11717842,0.16171639,0.04814318,0.33116478,0.0,0.09212275,0.9901431856974563,Accepted
EigenCAM,1.0,93.11271667480469,1.4066694974899292,0.10528731,0.11876622,0.1803823,0.035673596,0.3433245,9.983778e-06,-0.011160489,0.2449632126380079,Accepted
EigenGradCAM,1.0,116.94720458984375,1.4066694974899292,0.12831272,0.14916736,0.22216892,0.055579305,0.47181413,0.00021839142,0.102271706,0.9958503704743266,Accepted
LayerCAM,1.0,58.463050842285156,1.4066694974899292,0.05390145,0.07457023,0.103404865,0.028504185,0.21571955,3.1888485e-06,0.058703255,0.8995107774531007,Accepted
FullGrad,1.0,85.7352066040039,1.4066694974899292,0.09168351,0.10935612,0.15259224,0.04584729,0.31211418,0.0002731681,0.1705248,0.9999984314087483,Accepted
KPCA_CAM,0.9617347121238708,62.52646255493164,1.4066694974899292,0.07421398,0.07975314,0.1202066,0.029422525,0.25009182,0.0,0.21790463,0.9999999992988702,Accepted
FEM,0.9489796161651611,93.48916625976562,1.4066694974899292,0.09612802,0.119246386,0.17665035,0.030810209,0.393571,0.0,0.13141757,0.9997755989334899,Accepted
ShapleyCAM,0.9897959232330322,153.71337890625,1.4066694974899292,0.1548576,0.19606297,0.30879095,0.05584243,0.65012383,0.0,0.08047178,0.9757578173296106,Accepted
FinerCAM,1.0,124.87775421142578,1.4066694974899292,0.11202227,0.15928286,0.2290296,0.043285288,0.49929452,3.8977712e-05,0.0055989604,0.12437713414158247,Accepted
