Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,161.2685546875,2.1451592445373535,0.15233779,0.20569971,0.3077379,0.07089869,0.6586245,0.0010666251,0.1492472,0.9999728058804922,Accepted
HiResCAM,1.0,130.4373016357422,2.1451592445373535,0.12786959,0.16637409,0.23643222,0.04665994,0.5196166,1.7501414e-05,0.20341927,0.999999990907351,Accepted
GradCAMElementWise,1.0,90.22230529785156,2.1451592445373535,0.08531368,0.11507946,0.17196077,0.032965034,0.37331328,0.00024929643,0.24094817,0.9999999999918995,Accepted
GradCAMPlusPlus,1.0,108.11437225341797,2.1451592445373535,0.10637757,0.13790098,0.20009041,0.0418459,0.4367297,8.314848e-06,0.14817137,0.9999688909755238,Accepted
XGradCAM,1.0,173.47528076171875,2.1451592445373535,0.20321736,0.22126949,0.30236822,0.10130567,0.6029812,0.00097337365,-0.07331866,0.9598703102638,Accepted
AblationCAM,1.0,188.92782592773438,2.1451592445373535,0.21923153,0.24097937,0.3348756,0.10047076,0.68625265,0.0011811554,-0.007005751,0.155271473444628,Accepted
ScoreCAM,0.9413265585899353,156.22705078125,2.1451592445373535,0.15905415,0.19926919,0.29207438,0.054675467,0.64788574,0.0,0.07054977,0.9516979649769928,Accepted
EigenCAM,0.9987244606018066,56.21762466430664,2.1451592445373535,0.060492653,0.071706146,0.11307779,0.026071385,0.1973621,0.0,-0.24260443,0.9999999999942296,Accepted
EigenGradCAM,1.0,137.41921997070312,2.1451592445373535,0.09152958,0.17527962,0.25409257,0.02102175,0.6001325,5.67846e-05,0.2240741,0.9999999997774525,Accepted
LayerCAM,1.0,90.22230529785156,2.1451592445373535,0.08531368,0.11507946,0.17196077,0.032965034,0.37331328,0.00024929643,0.24094817,0.9999999999918995,Accepted
FullGrad,1.0,108.27682495117188,2.1451592445373535,0.1235858,0.13810818,0.18739678,0.073247805,0.35682502,0.0002257824,0.31746212,1.0,Accepted
KPCA_CAM,0.9132652878761292,10.207472801208496,2.1451592445373535,0.009487456,0.013019737,0.019204985,0.0034934431,0.042712487,0.0,0.06688815,0.9387899566002345,Accepted
FEM,0.9438775777816772,43.220977783203125,2.1451592445373535,0.032708187,0.055128798,0.08088475,0.008843586,0.18881029,0.0,0.06491644,0.930733579550277,Accepted
ShapleyCAM,1.0,201.0543670654297,2.1451592445373535,0.16614972,0.25644687,0.39113304,0.087916404,0.8437373,0.00065258145,0.19643839,0.9999999707084629,Accepted
FinerCAM,1.0,192.3406219482422,2.1451592445373535,0.19628584,0.24533245,0.37588927,0.08094884,0.8010634,0.00019977987,0.08216002,0.978591406385079,Accepted
