Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,128.3330535888672,3.1896495819091797,0.12674984,0.16369012,0.2251134,0.06616868,0.4554976,0.00014066696,-0.02506607,0.5165963686758758,Accepted
HiResCAM,1.0,87.298828125,3.1896495819091797,0.09510243,0.11135053,0.15439562,0.052375503,0.30615833,0.00014805794,0.035230596,0.6754691110723638,Accepted
GradCAMElementWise,1.0,72.29660034179688,3.1896495819091797,0.06764895,0.092215054,0.13538045,0.029153258,0.2899003,0.00012347102,0.1493217,0.999973058949652,Accepted
GradCAMPlusPlus,1.0,113.01152801513672,3.1896495819091797,0.11097563,0.14414735,0.2031147,0.054707877,0.42250407,0.00030029565,0.063319996,0.9235906070914062,Accepted
XGradCAM,1.0,169.43775939941406,3.1896495819091797,0.18685502,0.21611959,0.30075553,0.10549828,0.5884073,0.0017167032,0.019358862,0.4116539043417531,Accepted
AblationCAM,1.0,142.877685546875,3.1896495819091797,0.15136462,0.18224195,0.24673283,0.08053924,0.49291667,0.0011425316,-0.027454535,0.5573013004624081,Accepted
ScoreCAM,1.0,214.78692626953125,3.1896495819091797,0.21456921,0.2739629,0.4224589,0.09675515,0.8464308,6.7505985e-05,-0.17123951,0.9999985838684093,Accepted
EigenCAM,1.0,89.98258972167969,3.1896495819091797,0.09403488,0.11477371,0.1706924,0.055964444,0.3240376,0.00012424588,-0.10785088,0.9975040440143176,Accepted
EigenGradCAM,1.0,66.96295166015625,3.1896495819091797,0.057054535,0.08541193,0.12066251,0.026113287,0.26151812,0.00014722347,0.102595806,0.9959685522913344,Accepted
LayerCAM,1.0,72.29660034179688,3.1896495819091797,0.06764895,0.092215054,0.13538045,0.029153258,0.2899003,0.00012347102,0.1493217,0.999973058949652,Accepted
FullGrad,1.0,90.56463623046875,3.1896495819091797,0.104760915,0.11551612,0.16010086,0.052733608,0.30677906,0.0005416274,0.12359092,0.9994762969166381,Accepted
KPCA_CAM,1.0,76.07028198242188,3.1896495819091797,0.0819931,0.09702842,0.15447009,0.04047672,0.2790539,0.00049830973,-0.037473164,0.7053354030506744,Accepted
FEM,0.9987244606018066,54.58646774291992,3.1896495819091797,0.059790775,0.06962559,0.10170588,0.030859105,0.2073641,0.0,0.07055366,0.9517104979214257,Accepted
ShapleyCAM,1.0,151.84869384765625,3.1896495819091797,0.15125471,0.19368456,0.290635,0.06471307,0.5982469,3.027916e-05,0.05750988,0.8923923480813745,Accepted
FinerCAM,1.0,186.7432098388672,3.1896495819091797,0.20376277,0.23819289,0.34303164,0.092079096,0.69812477,0.0008046031,0.058531404,0.8985091469117895,Accepted
