Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,0.9987244606018066,73.61317443847656,3.481990337371826,0.06789694,0.093894355,0.1390751,0.025080405,0.3092736,0.0,0.10530936,0.996844508092723,Accepted
HiResCAM,1.0,84.18551635742188,3.481990337371826,0.064293884,0.10737949,0.16105808,0.024864739,0.36516428,5.9604645e-08,0.04699938,0.8113583804989231,Accepted
GradCAMElementWise,1.0,74.25373840332031,3.481990337371826,0.069318935,0.09471138,0.1380933,0.025550667,0.30383503,5.9604645e-08,0.100815415,0.995279742871283,Accepted
GradCAMPlusPlus,1.0,126.06184387207031,3.481990337371826,0.14805542,0.16079316,0.24471012,0.054237083,0.48322496,2.5987625e-05,0.10314796,0.9961628790173789,Accepted
XGradCAM,1.0,97.89283752441406,3.481990337371826,0.10628035,0.1248633,0.1799436,0.05452914,0.36333814,0.00021085143,-0.052651025,0.8592216796094532,Accepted
AblationCAM,1.0,107.81971740722656,3.481990337371826,0.09072053,0.13752516,0.2080559,0.032666974,0.46814042,0.00013798475,0.14582679,0.999958427954495,Accepted
ScoreCAM,1.0,95.15253448486328,3.481990337371826,0.08818765,0.121368036,0.1630347,0.04334005,0.33796924,9.864569e-05,0.17023551,0.999998365311696,Accepted
EigenCAM,0.9987244606018066,82.13525390625,3.481990337371826,0.08973424,0.10476436,0.14490828,0.056782693,0.27680704,0.0,0.4491006,1.0,Accepted
EigenGradCAM,1.0,88.74124145507812,3.481990337371826,0.074603215,0.11319036,0.15099995,0.03522625,0.3242025,0.00037908554,0.15216057,0.9999811956618515,Accepted
LayerCAM,1.0,74.25373840332031,3.481990337371826,0.069318935,0.09471138,0.1380933,0.025550667,0.30383503,5.9604645e-08,0.100815415,0.995279742871283,Accepted
FullGrad,1.0,124.90064239501953,3.481990337371826,0.14117193,0.15931204,0.24282509,0.072065145,0.4332422,0.00018429756,-0.09257542,0.9905008599389381,Accepted
KPCA_CAM,0.9170918464660645,51.65903091430664,3.481990337371826,0.051488757,0.06589162,0.10862421,0.01460632,0.2392461,0.0,0.046718743,0.8087025208918849,Accepted
FEM,0.918367326259613,76.1632080078125,3.481990337371826,0.06341411,0.09714695,0.14607212,0.01981733,0.3345539,0.0,0.036773607,0.6962216944516755,Accepted
ShapleyCAM,0.9795918464660645,120.92137908935547,3.481990337371826,0.14185601,0.15423644,0.22357094,0.04804008,0.48481828,0.0,0.16362566,0.9999958809323347,Accepted
FinerCAM,1.0,125.13175964355469,3.481990337371826,0.1124268,0.15960683,0.23167193,0.035790503,0.5215146,5.1040202e-05,0.061572514,0.9150962128122633,Accepted
