Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,176.02438354492188,9.967448234558105,0.18832225,0.22452089,0.31783316,0.08938983,0.6543106,7.882714e-06,0.19999951,0.9999999837877008,Accepted
HiResCAM,1.0,81.64527130126953,9.967448234558105,0.06743178,0.10413938,0.14510423,0.032454934,0.31288406,0.0006374121,0.25744396,0.9999999999997533,Accepted
GradCAMElementWise,1.0,76.23731994628906,9.967448234558105,0.06480747,0.0972415,0.13703832,0.027235381,0.2986607,0.0001308471,0.24689427,0.9999999999976308,Accepted
GradCAMPlusPlus,1.0,124.97976684570312,9.967448234558105,0.13089281,0.15941297,0.21521136,0.068883196,0.43337053,0.000121206045,0.099175386,0.9945529392350057,Accepted
XGradCAM,1.0,170.3287811279297,9.967448234558105,0.17348316,0.21725605,0.33354205,0.08030975,0.67738384,2.9414892e-05,0.1468949,0.999963551808249,Accepted
AblationCAM,1.0,167.36778259277344,9.967448234558105,0.18706149,0.2134793,0.31685013,0.08652962,0.6614077,0.00038519502,1.5422702e-05,0.00034300811415843846,Rejected
ScoreCAM,0.980867326259613,84.49180603027344,9.967448234558105,0.0753721,0.10777017,0.15652111,0.026537292,0.34867096,0.0,0.24100848,0.9999999999919986,Accepted
EigenCAM,0.9987244606018066,133.04971313476562,9.967448234558105,0.1592716,0.16970627,0.24603593,0.079780325,0.43382892,0.0,0.02629394,0.5377726882570872,Accepted
EigenGradCAM,1.0,100.998291015625,9.967448234558105,0.08074021,0.12882435,0.1878299,0.044545695,0.40118048,0.00017935038,0.23461777,0.9999999999710623,Accepted
LayerCAM,1.0,76.23731994628906,9.967448234558105,0.06480747,0.0972415,0.13703832,0.027235381,0.2986607,0.0001308471,0.24689427,0.9999999999976308,Accepted
FullGrad,1.0,76.29396057128906,9.967448234558105,0.08182556,0.097313724,0.13623017,0.046589006,0.26738063,0.00027576834,0.1557065,0.9999881083308001,Accepted
KPCA_CAM,0.9795918464660645,46.84965515136719,9.967448234558105,0.044235766,0.059757214,0.0794024,0.019516699,0.16637796,0.0,-0.10889532,0.997736510856061,Accepted
FEM,0.8099489808082581,67.61862182617188,9.967448234558105,0.04843326,0.08624824,0.13337488,0.0029056277,0.3268051,0.0,-0.004555255,0.10133143857962235,Accepted
ShapleyCAM,1.0,163.97169494628906,9.967448234558105,0.19719458,0.20914759,0.3142196,0.083715916,0.5384022,0.00017290562,0.21797438,0.9999999993077906,Accepted
FinerCAM,1.0,183.78997802734375,9.967448234558105,0.1966814,0.234426,0.3476881,0.08060038,0.73775864,0.00022740662,0.22929221,0.9999999999178903,Accepted
