Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,153.3288116455078,9.843841552734375,0.15742227,0.19557248,0.2933379,0.067426965,0.61369324,0.00029036403,0.2683226,0.9999999999999786,Accepted
HiResCAM,1.0,100.97135925292969,9.843841552734375,0.09678717,0.12879,0.17009586,0.045840874,0.3555804,3.849715e-05,0.24596553,0.9999999999971231,Accepted
GradCAMElementWise,1.0,97.56702423095703,9.843841552734375,0.10341419,0.12444775,0.17226207,0.049963415,0.35535166,0.00010743365,0.23070529,0.9999999999375839,Accepted
GradCAMPlusPlus,1.0,177.38571166992188,9.843841552734375,0.21412475,0.22625732,0.32755366,0.1065047,0.6500859,0.0001577735,0.1665748,0.999997260651039,Accepted
XGradCAM,1.0,147.91842651367188,9.843841552734375,0.1424924,0.18867147,0.27012587,0.06788272,0.5724776,0.001455456,0.19935565,0.9999999819427926,Accepted
AblationCAM,1.0,165.2548828125,9.843841552734375,0.15959725,0.21078432,0.30885562,0.06826056,0.6679939,0.00030225515,0.25329185,0.9999999999993915,Accepted
ScoreCAM,1.0,163.03636169433594,9.843841552734375,0.17937092,0.20795453,0.30273372,0.082951784,0.6218828,0.00029343367,0.040005017,0.7367744268682934,Accepted
EigenCAM,1.0,139.82276916503906,9.843841552734375,0.18355438,0.17834537,0.24834695,0.11262,0.40212974,5.9604645e-08,0.015058067,0.3262275953330913,Accepted
EigenGradCAM,1.0,245.19308471679688,9.843841552734375,0.2688613,0.3127463,0.4864309,0.122543186,0.8858761,0.00067034364,-0.15654422,0.9999893442445759,Accepted
LayerCAM,1.0,97.56702423095703,9.843841552734375,0.10341419,0.12444775,0.17226207,0.049963415,0.35535166,0.00010743365,0.23070529,0.9999999999375839,Accepted
FullGrad,1.0,73.37725830078125,9.843841552734375,0.07855615,0.09359343,0.13018525,0.035879254,0.26649395,4.348159e-05,0.2295717,0.999999999922215,Accepted
KPCA_CAM,0.9897959232330322,72.46989440917969,9.843841552734375,0.091876596,0.0924361,0.13484247,0.049122326,0.23919272,0.0,0.0054553673,0.12121364357171482,Accepted
FEM,1.0,84.6702880859375,9.843841552734375,0.07535286,0.10799782,0.14431794,0.030310959,0.3146438,5.9604645e-08,0.011936089,0.26138541265816106,Accepted
ShapleyCAM,1.0,187.03900146484375,9.843841552734375,0.20685716,0.23857017,0.35439792,0.09015211,0.671157,0.0008392036,0.24944896,0.999999999998617,Accepted
FinerCAM,1.0,179.9469451904297,9.843841552734375,0.18342754,0.22952417,0.33746395,0.087241665,0.68886423,0.0008763969,0.16162407,0.9999945890329457,Accepted
