Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,92.20338439941406,14.020155906677246,0.086990625,0.11760636,0.16139832,0.040144444,0.34016097,0.00015765429,0.10012855,0.9949867399020375,Accepted
HiResCAM,1.0,115.81857299804688,14.020155906677246,0.110103115,0.14772776,0.2264101,0.04688722,0.49469808,0.00017214566,0.08272587,0.9794745066991866,Accepted
GradCAMElementWise,1.0,92.98401641845703,14.020155906677246,0.08408813,0.118602075,0.16903344,0.03899082,0.35796392,1.4603138e-05,0.1259115,0.9995906317577706,Accepted
GradCAMPlusPlus,1.0,154.94207763671875,14.020155906677246,0.1610798,0.19763017,0.2867624,0.073141366,0.60486174,0.00012935698,0.009918861,0.2184428252267533,Accepted
XGradCAM,1.0,164.97610473632812,14.020155906677246,0.16601434,0.2104287,0.3247841,0.0718488,0.6961252,0.00016951561,0.14074151,0.9999231995401809,Accepted
AblationCAM,1.0,139.91400146484375,14.020155906677246,0.13205254,0.17846173,0.2574665,0.06817262,0.5354862,0.0001540184,0.123209566,0.9994548810372728,Accepted
ScoreCAM,0.9974489808082581,173.6532440185547,14.020155906677246,0.16291323,0.22149651,0.32632497,0.06940803,0.71067905,0.0,-0.11748642,0.9990185567482744,Accepted
EigenCAM,1.0,172.2271728515625,14.020155906677246,0.23252,0.21967752,0.3155959,0.11171992,0.5056609,0.00069081783,-0.13219768,0.9997943152094905,Accepted
EigenGradCAM,1.0,257.22088623046875,14.020155906677246,0.310126,0.32808787,0.50681007,0.12901051,0.96193874,0.0010570213,-0.010316029,0.22695575795015532,Accepted
LayerCAM,1.0,92.98401641845703,14.020155906677246,0.08408813,0.118602075,0.16903344,0.03899082,0.35796392,1.4603138e-05,0.1259115,0.9995906317577706,Accepted
FullGrad,0.9987244606018066,127.93913269042969,14.020155906677246,0.14779696,0.16318767,0.23917273,0.08042514,0.44328055,0.0,-0.038655125,0.7203125071713967,Accepted
KPCA_CAM,1.0,91.8354263305664,14.020155906677246,0.11785804,0.11713702,0.18424892,0.0425177,0.28597027,3.194809e-05,-0.030180657,0.6012765543342627,Accepted
FEM,0.9591836929321289,125.23457336425781,14.020155906677246,0.11994869,0.15973797,0.2470358,0.050007336,0.5334131,0.0,0.047605008,0.8169982292376181,Accepted
ShapleyCAM,0.9591836929321289,126.47469329833984,14.020155906677246,0.12714107,0.16131978,0.24853864,0.039701834,0.5214426,0.0,0.06815049,0.943529619398813,Accepted
FinerCAM,0.9987244606018066,123.40348815917969,14.020155906677246,0.09983538,0.1574024,0.2233194,0.028615253,0.51363873,0.0,0.09997105,0.9949172948026668,Accepted
