Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,169.4943084716797,3.944420099258423,0.15492536,0.21619172,0.33244476,0.07389848,0.71474135,8.3208084e-05,0.22527474,0.999999999822695,Accepted
HiResCAM,1.0,131.7382049560547,3.944420099258423,0.12857753,0.16803345,0.24803378,0.047348335,0.53760237,7.709116e-05,0.13517004,0.9998530427857435,Accepted
GradCAMElementWise,1.0,89.10152435302734,3.944420099258423,0.086312234,0.11364991,0.17601094,0.02984839,0.39397305,0.00014828146,0.187388,0.9999998745546013,Accepted
GradCAMPlusPlus,1.0,247.1107177734375,3.944420099258423,0.32293773,0.31519228,0.46900362,0.14383532,0.8278477,0.00026917458,-0.29637027,1.0,Accepted
XGradCAM,1.0,214.27244567871094,3.944420099258423,0.2651997,0.2733067,0.38746825,0.13130137,0.75240475,0.00013825297,-0.2848859,0.9999999999999996,Accepted
AblationCAM,1.0,201.65213012695312,3.944420099258423,0.23152523,0.25720936,0.36265856,0.1120852,0.7307447,0.00053851306,-0.1357132,0.9998619044304776,Accepted
ScoreCAM,0.954081654548645,154.1101531982422,3.944420099258423,0.15411714,0.19656906,0.28525788,0.05353596,0.625217,0.0,-0.038223807,0.7149083127799929,Accepted
EigenCAM,1.0,58.08686828613281,3.944420099258423,0.064406626,0.07409039,0.113738716,0.031004202,0.19732851,5.466491e-05,-0.37953007,1.0,Accepted
EigenGradCAM,1.0,129.97764587402344,3.944420099258423,0.07996385,0.1657878,0.22743934,0.02920389,0.52430063,2.5443733e-06,0.17384301,0.999999027750308,Accepted
LayerCAM,1.0,89.10152435302734,3.944420099258423,0.086312234,0.11364991,0.17601094,0.02984839,0.39397305,0.00014828146,0.187388,0.9999998745546013,Accepted
FullGrad,1.0,101.72694396972656,3.944420099258423,0.11188019,0.12975377,0.1879099,0.05601623,0.38010082,0.0005826056,0.21232398,0.9999999980769333,Accepted
KPCA_CAM,0.9132652878761292,10.926432609558105,3.944420099258423,0.010116428,0.013936778,0.0194249,0.0033843815,0.04309556,0.0,0.16923955,0.9999981167270418,Accepted
FEM,0.9438775777816772,55.2501220703125,3.944420099258423,0.040626816,0.0704721,0.10364851,0.013495412,0.2381318,0.0,-0.026577227,0.5425827764181077,Accepted
ShapleyCAM,1.0,199.9573211669922,3.944420099258423,0.17490418,0.2550476,0.377343,0.088295676,0.80390674,0.0005928129,0.11861593,0.9991243482557646,Accepted
FinerCAM,1.0,208.71043395996094,3.944420099258423,0.22028038,0.2662123,0.40038657,0.08705134,0.8692843,0.00041727722,0.22787201,0.9999999998920313,Accepted
