Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,125.80215454101562,8.253204345703125,0.13657986,0.16046193,0.22163492,0.07013869,0.4486727,0.0002860129,0.15071197,0.9999773906658821,Accepted
HiResCAM,1.0,94.83070373535156,8.253204345703125,0.10430148,0.12095752,0.15428787,0.05045507,0.31002015,0.00030896068,0.01970039,0.4182187589552523,Accepted
GradCAMElementWise,1.0,97.57213592529297,8.253204345703125,0.08217615,0.12445425,0.20509575,0.029228956,0.4657063,4.5463443e-05,0.22398853,0.9999999997738287,Accepted
GradCAMPlusPlus,1.0,151.56585693359375,8.253204345703125,0.18062367,0.19332382,0.26490098,0.09640282,0.5074333,6.856024e-05,-0.061795793,0.9162222782784961,Accepted
XGradCAM,1.0,142.8179931640625,8.253204345703125,0.14872321,0.1821658,0.27397513,0.060871065,0.5884584,0.00016993284,0.088026986,0.9863220231668441,Accepted
AblationCAM,1.0,165.98388671875,8.253204345703125,0.17368007,0.21171416,0.30599242,0.105029576,0.6059031,0.0001039505,0.13174883,0.9997837340041089,Accepted
ScoreCAM,0.9936224222183228,163.44508361816406,8.253204345703125,0.18953505,0.20847586,0.29784498,0.07461276,0.62882775,0.0,0.040895186,0.7472592775408826,Accepted
EigenCAM,0.8928571343421936,31.358501434326172,8.253204345703125,0.027698945,0.039998084,0.06074617,0.006109507,0.14161766,0.0,0.23668434,0.9999999999808268,Accepted
EigenGradCAM,1.0,109.20201873779297,8.253204345703125,0.1379386,0.13928829,0.18028103,0.086541876,0.32079312,2.4586916e-05,-0.05354884,0.8658795712749893,Accepted
LayerCAM,1.0,97.57213592529297,8.253204345703125,0.08217615,0.12445425,0.20509575,0.029228956,0.4657063,4.5463443e-05,0.22398853,0.9999999997738287,Accepted
FullGrad,1.0,106.46862030029297,8.253204345703125,0.1073497,0.1358018,0.20758492,0.03950896,0.44316682,0.0005966276,0.17379674,0.99999902118486,Accepted
KPCA_CAM,0.9221938848495483,21.960866928100586,8.253204345703125,0.020328224,0.028011307,0.041965872,0.0059521003,0.09503502,0.0,0.11101454,0.998148499267018,Accepted
FEM,0.9987244606018066,52.243412017822266,8.253204345703125,0.04634677,0.066637,0.08121341,0.022801265,0.16811398,0.0,0.04792315,0.8199103489351228,Accepted
ShapleyCAM,1.0,150.36390686035156,8.253204345703125,0.18308209,0.19179071,0.28670946,0.09195843,0.4747497,0.00019937754,-0.15030174,0.9999761864291881,Accepted
FinerCAM,1.0,170.14669799804688,8.253204345703125,0.1987589,0.21702385,0.31525654,0.084945545,0.65084195,0.0006079897,0.17716165,0.9999994029001958,Accepted
