Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,104.44276428222656,10.20155143737793,0.11377164,0.13321781,0.20023224,0.04481058,0.43054044,0.00055953185,0.23759224,0.9999999999840182,Accepted
HiResCAM,1.0,94.32586669921875,10.20155143737793,0.102272615,0.12031359,0.17278115,0.054439206,0.3490016,0.00068852305,0.062648356,0.9204109900709881,Accepted
GradCAMElementWise,1.0,71.91187286376953,10.20155143737793,0.06649019,0.09172433,0.13258147,0.032565687,0.28156754,0.00015471876,0.01827526,0.39060238905179223,Accepted
GradCAMPlusPlus,1.0,119.47747802734375,10.20155143737793,0.14163762,0.15239474,0.21378046,0.06567897,0.42948487,0.00095263124,0.04276624,0.7683388004698715,Accepted
XGradCAM,1.0,153.01889038085938,10.20155143737793,0.1608068,0.19517712,0.25705752,0.08396709,0.5138731,0.00016713142,0.22289994,0.999999999722407,Accepted
AblationCAM,1.0,95.32508850097656,10.20155143737793,0.087507896,0.121588126,0.17621961,0.034071013,0.38916916,3.170967e-05,0.15724096,0.9999902780330612,Accepted
ScoreCAM,0.9719387888908386,152.7428436279297,10.20155143737793,0.13836625,0.19482507,0.30998588,0.05093572,0.6795808,0.0,-0.106680274,0.9972177090685581,Accepted
EigenCAM,1.0,114.41062927246094,10.20155143737793,0.12848887,0.14593193,0.21171363,0.075237036,0.34886783,8.711219e-05,0.21801302,0.9999999993126751,Accepted
EigenGradCAM,1.0,124.1483154296875,10.20155143737793,0.13262986,0.15835245,0.22672597,0.061299868,0.46263167,0.00022023916,0.09514932,0.9923235657728123,Accepted
LayerCAM,1.0,71.91187286376953,10.20155143737793,0.06649019,0.09172433,0.13258147,0.032565687,0.28156754,0.00015471876,0.01827526,0.39060238905179223,Accepted
FullGrad,1.0,116.7119140625,10.20155143737793,0.1464193,0.14886723,0.20295027,0.08919462,0.36181498,0.0006201714,-0.033179376,0.6464868136199948,Accepted
KPCA_CAM,0.9617347121238708,50.215187072753906,10.20155143737793,0.05269027,0.06404998,0.091242604,0.024183184,0.1902579,0.0,0.13785775,0.9998922146112285,Accepted
FEM,0.9693877696990967,90.0628662109375,10.20155143737793,0.07999906,0.114876114,0.19317111,0.028087586,0.4085238,0.0,0.056283887,0.8846699394656192,Accepted
ShapleyCAM,0.9987244606018066,91.8446273803711,10.20155143737793,0.09670788,0.11714877,0.16177256,0.043524213,0.33621854,0.0,-0.011611231,0.2545210579123276,Accepted
FinerCAM,1.0,204.3190460205078,10.20155143737793,0.18165955,0.26061106,0.40621704,0.085437745,0.8872595,0.00021632016,0.12312018,0.9994497436443787,Accepted
