Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,155.28585815429688,6.5192108154296875,0.1674736,0.19806872,0.28673565,0.06814477,0.6142212,0.00030870736,0.012063635,0.26407513322830967,Accepted
HiResCAM,1.0,119.38970184326172,6.5192108154296875,0.13781115,0.15228279,0.21457377,0.065773755,0.43603256,0.00029711425,-0.0268496,0.5471820595548982,Accepted
GradCAMElementWise,1.0,80.84701538085938,6.5192108154296875,0.08187598,0.10312119,0.14605343,0.03958299,0.30197135,1.4901161e-06,0.05104644,0.8466943915660123,Accepted
GradCAMPlusPlus,1.0,112.07333374023438,6.5192108154296875,0.13225482,0.14295068,0.20525104,0.06817652,0.401765,2.2262335e-05,0.066284925,0.936411799454597,Accepted
XGradCAM,1.0,116.43956756591797,6.5192108154296875,0.12890977,0.14851986,0.20220242,0.06733048,0.40269008,0.00014966726,0.0984882,0.9942195552607338,Accepted
AblationCAM,1.0,149.81024169921875,6.5192108154296875,0.14660159,0.19108449,0.2735788,0.06459026,0.5866323,0.00021740794,0.045020554,0.7920431353780993,Accepted
ScoreCAM,0.9132652878761292,69.9365005493164,6.5192108154296875,0.058750138,0.08920471,0.11271985,0.017179469,0.2554305,0.0,0.120042235,0.9992428572561837,Accepted
EigenCAM,1.0,114.0589370727539,6.5192108154296875,0.13116115,0.14548334,0.20939785,0.069649115,0.41863257,8.434057e-05,0.17050348,0.9999984266227735,Accepted
EigenGradCAM,1.0,147.29876708984375,6.5192108154296875,0.16212565,0.18788108,0.24555784,0.08178376,0.48089707,0.00010700524,-0.0108599905,0.23856950680632083,Accepted
LayerCAM,1.0,80.84701538085938,6.5192108154296875,0.08187598,0.10312119,0.14605343,0.03958299,0.30197135,1.4901161e-06,0.05104644,0.8466943915660123,Accepted
FullGrad,1.0,51.42900466918945,6.5192108154296875,0.05344402,0.06559821,0.09034037,0.025520636,0.18712834,6.80536e-05,0.06586758,0.934722168711962,Accepted
KPCA_CAM,0.9413265585899353,30.340591430664062,6.5192108154296875,0.030178651,0.038699735,0.05842795,0.009960383,0.13046551,0.0,0.22165969,0.9999999996498831,Accepted
FEM,0.8711734414100647,34.68309783935547,6.5192108154296875,0.02836025,0.044238646,0.059767015,0.005962207,0.14027138,0.0,0.044325214,0.7849267955318083,Accepted
ShapleyCAM,0.9948979616165161,137.22898864746094,6.5192108154296875,0.14568493,0.17503698,0.2728631,0.060308404,0.54293,0.0,-0.16039105,0.9999936093151074,Accepted
FinerCAM,1.0,196.6981964111328,6.5192108154296875,0.2245059,0.25089055,0.35240114,0.11631745,0.6983137,0.00029233098,-0.033857122,0.6562378156374631,Accepted
