Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,108.01728057861328,6.316272258758545,0.112848364,0.13777715,0.19302268,0.056055866,0.38884798,3.3140182e-05,0.31771237,1.0,Accepted
HiResCAM,1.0,51.18526840209961,6.316272258758545,0.049875293,0.06528734,0.08491407,0.028301537,0.16634908,0.00011242926,0.08751163,0.9857587801301697,Accepted
GradCAMElementWise,1.0,58.63657760620117,6.316272258758545,0.058604684,0.07479155,0.11211638,0.026860245,0.2392964,0.00021103024,0.17245686,0.9999988113914129,Accepted
GradCAMPlusPlus,1.0,109.05482482910156,6.316272258758545,0.107944846,0.13910055,0.20293143,0.050370973,0.42704332,3.2782555e-05,0.089103535,0.987435685166702,Accepted
XGradCAM,1.0,120.28790283203125,6.316272258758545,0.13836636,0.15342844,0.21297225,0.06543742,0.42041075,0.000400424,-0.0865364,0.9846367629359193,Accepted
AblationCAM,0.9987244606018066,39.355194091796875,6.316272258758545,0.040476084,0.050197948,0.06980358,0.019993592,0.14358169,0.0,0.19243318,0.9999999437601254,Accepted
ScoreCAM,1.0,31.60265350341797,6.316272258758545,0.02913002,0.040309504,0.052728914,0.015705872,0.10676363,4.8107002e-05,-0.015201051,0.32914583344919046,Accepted
EigenCAM,0.9961734414100647,49.96614074707031,6.316272258758545,0.044867173,0.063732326,0.082972005,0.021317191,0.1714648,0.0,0.1468161,0.9999631952571695,Accepted
EigenGradCAM,1.0,96.01793670654297,6.316272258758545,0.09550901,0.12247185,0.1832955,0.036886103,0.39803106,8.3088875e-05,0.14663143,0.9999623467167746,Accepted
LayerCAM,1.0,58.63657760620117,6.316272258758545,0.058604684,0.07479155,0.11211638,0.026860245,0.2392964,0.00021103024,0.17245686,0.9999988113914129,Accepted
FullGrad,0.9987244606018066,88.47441101074219,6.316272258758545,0.09120676,0.11285001,0.17001131,0.03696111,0.3655492,0.0,0.09092882,0.989141577900467,Accepted
KPCA_CAM,1.0,151.22303771972656,6.316272258758545,0.18014073,0.19288655,0.2751128,0.09492575,0.46100393,0.0012105107,-0.39227018,1.0,Accepted
FEM,1.0,71.71049499511719,6.316272258758545,0.06463565,0.09146747,0.12667269,0.030311435,0.26902685,0.00029052794,-0.06332048,0.9235928268631959,Accepted
ShapleyCAM,1.0,70.69435119628906,6.316272258758545,0.07867128,0.09017137,0.13793753,0.03873796,0.28151906,0.00014987588,-0.11154021,0.9982394456909608,Accepted
FinerCAM,1.0,236.77508544921875,6.316272258758545,0.2621737,0.30200905,0.43794626,0.11136596,0.9216728,4.130602e-05,0.12351072,0.9994718575635375,Accepted
