Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,130.06442260742188,96.23922729492188,0.15098767,0.1658985,0.2321173,0.09177515,0.43970403,0.0003271848,0.0009383559,0.02092907652867826,Rejected
HiResCAM,1.0,182.19847106933594,96.23922729492188,0.19980592,0.23239599,0.31618708,0.10518813,0.63035464,0.00088620186,-0.08072887,0.9762093095509077,Accepted
GradCAMElementWise,1.0,165.46864318847656,96.23922729492188,0.19272132,0.21105695,0.28895903,0.10893459,0.54888654,0.0011211932,-0.11161768,0.9982524983560759,Accepted
GradCAMPlusPlus,1.0,167.49209594726562,96.23922729492188,0.19518644,0.21363787,0.29293996,0.106635176,0.5710516,0.00025464594,-0.00992503,0.21857588391468263,Accepted
XGradCAM,1.0,166.2197265625,96.23922729492188,0.18014953,0.21201496,0.30541503,0.07254334,0.6460113,0.00015330315,0.066692784,0.9380282912214821,Accepted
AblationCAM,1.0,159.90870666503906,96.23922729492188,0.20643294,0.20396517,0.2706545,0.1278722,0.47572577,0.00237,0.0854986,0.9833581423681224,Accepted
ScoreCAM,1.0,272.55096435546875,96.23922729492188,0.31787184,0.3476415,0.47937393,0.18464677,0.91855603,0.0004119873,0.01382941,0.3009667447975015,Accepted
EigenCAM,0.9987244606018066,188.93048095703125,96.23922729492188,0.23826042,0.24098276,0.3227717,0.12699363,0.59847677,0.0,-0.12255636,0.9994162925775113,Accepted
EigenGradCAM,1.0,182.16754150390625,96.23922729492188,0.20368081,0.23235656,0.36549136,0.06909759,0.78685987,0.00076401234,-0.09494422,0.9921907712001886,Accepted
LayerCAM,1.0,165.46864318847656,96.23922729492188,0.19272132,0.21105695,0.28895903,0.10893459,0.54888654,0.0011211932,-0.11161768,0.9982524983560759,Accepted
FullGrad,1.0,185.75677490234375,96.23922729492188,0.21869972,0.2369347,0.34061542,0.115431845,0.673683,0.0008177161,-0.17991506,0.9999996043094954,Accepted
KPCA_CAM,0.9885203838348389,125.67241668701172,96.23922729492188,0.12783125,0.16029647,0.23453125,0.051578462,0.5051033,0.0,0.15203446,0.999980890520579,Accepted
FEM,0.9974489808082581,121.73641204833984,96.23922729492188,0.1328794,0.15527605,0.21706012,0.05930587,0.4513041,0.0,-0.0003258679,0.007269544676644424,Rejected
ShapleyCAM,1.0,379.12603759765625,96.23922729492188,0.49883792,0.48357913,0.70344514,0.2616345,0.9650046,0.0014650822,-0.07791805,0.9708566358520527,Accepted
FinerCAM,1.0,140.650634765625,96.23922729492188,0.15000567,0.17940132,0.2559185,0.06152066,0.5448587,7.4505806e-06,0.18852568,0.9999998951172893,Accepted
