Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,114.09744262695312,5.609850883483887,0.120398805,0.14553244,0.20515136,0.05856673,0.42291084,0.0007900372,0.05198753,0.8541401068343009,Accepted
HiResCAM,1.0,147.05029296875,5.609850883483887,0.17040029,0.18756413,0.27706742,0.06824486,0.5877268,2.0712614e-05,0.118553445,0.9991187742919598,Accepted
GradCAMElementWise,0.9987244606018066,97.5965347290039,5.609850883483887,0.10154674,0.124485366,0.17656372,0.051782586,0.36132506,0.0,0.026124183,0.5348764257184773,Accepted
GradCAMPlusPlus,1.0,190.4070587158203,5.609850883483887,0.22612679,0.24286614,0.36311018,0.10669486,0.6414004,0.0014305711,-0.18421587,0.9999997945442588,Accepted
XGradCAM,1.0,174.32521057128906,5.609850883483887,0.17718643,0.2223536,0.3325897,0.084240794,0.70286137,0.00082305074,0.07307932,0.9592133882058135,Accepted
AblationCAM,1.0,94.89590454101562,5.609850883483887,0.08108693,0.121040694,0.16772564,0.03690017,0.36072186,0.00018949062,0.038521823,0.7186485355142568,Accepted
ScoreCAM,0.9323979616165161,122.19003295898438,5.609850883483887,0.108530015,0.15585463,0.22161418,0.036409773,0.49727273,0.0,0.105355866,0.9968578761983533,Accepted
EigenCAM,0.9948979616165161,55.995967864990234,5.609850883483887,0.06466328,0.071423426,0.107589215,0.024123505,0.22968,0.0,0.089336246,0.9876655893118481,Accepted
EigenGradCAM,1.0,82.38946533203125,5.609850883483887,0.079866216,0.10508859,0.15147269,0.027504805,0.3304326,5.958602e-06,0.1392566,0.9999084801455862,Accepted
LayerCAM,0.9987244606018066,97.5965347290039,5.609850883483887,0.10154674,0.124485366,0.17656372,0.051782586,0.36132506,0.0,0.026124183,0.5348764257184773,Accepted
FullGrad,1.0,80.43453979492188,5.609850883483887,0.08128476,0.102595076,0.14736089,0.029638156,0.32206184,0.00014942884,0.050469674,0.8419896277569744,Accepted
KPCA_CAM,1.0,30.84980010986328,5.609850883483887,0.034980744,0.039349236,0.05597114,0.015563384,0.11303729,0.0001116395,0.17161511,0.9999986581931816,Accepted
FEM,0.7997449040412903,22.560705184936523,5.609850883483887,0.010127438,0.028776407,0.044738416,0.0006865873,0.11048911,0.0,-0.11632651,0.9988977246247545,Accepted
ShapleyCAM,1.0,199.36221313476562,5.609850883483887,0.22570942,0.25428852,0.39020798,0.11385305,0.6442778,0.000109016895,0.1340305,0.9998326893641645,Accepted
FinerCAM,1.0,170.15771484375,5.609850883483887,0.17166214,0.21703789,0.30920377,0.077925846,0.6546754,0.0002694428,0.07065052,0.9520184041692362,Accepted
