Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,167.21807861328125,4.9810357093811035,0.19300145,0.21328837,0.28889275,0.09407374,0.579347,0.00044229627,0.22240025,0.9999999996951427,Accepted
HiResCAM,1.0,90.7152099609375,4.9810357093811035,0.09681204,0.11570817,0.17463993,0.03915506,0.37030828,1.6944483e-05,-0.15654674,0.9999893477476186,Accepted
GradCAMElementWise,0.9974489808082581,106.9541015625,4.9810357093811035,0.12960032,0.13642105,0.20187712,0.053294837,0.41564947,0.0,-0.11544722,0.9987971328452564,Accepted
GradCAMPlusPlus,1.0,115.43727111816406,4.9810357093811035,0.12310363,0.14724141,0.22566521,0.04694853,0.4911058,0.00019448996,0.13259399,0.9998032543248715,Accepted
XGradCAM,1.0,129.093994140625,4.9810357093811035,0.1323771,0.1646607,0.24748234,0.050341897,0.54055834,0.00021141768,0.15987521,0.9999931509555233,Accepted
AblationCAM,1.0,83.87885284423828,4.9810357093811035,0.07869631,0.10698834,0.15672241,0.037150748,0.33295026,0.00015205145,0.048376348,0.8239980619468541,Accepted
ScoreCAM,1.0,116.79703521728516,4.9810357093811035,0.106796876,0.14897582,0.21222457,0.056056578,0.4384517,0.00010639429,-0.1122361,0.9983535385173463,Accepted
EigenCAM,0.9987244606018066,69.01158905029297,4.9810357093811035,0.08718533,0.088024996,0.1435481,0.034300566,0.24869055,0.0,-0.23050244,0.9999999999350716,Accepted
EigenGradCAM,1.0,83.57337951660156,4.9810357093811035,0.088833645,0.1065987,0.1470773,0.037797276,0.3032798,0.0004043104,0.1503541,0.9999763436975346,Accepted
LayerCAM,0.9974489808082581,106.9541015625,4.9810357093811035,0.12960032,0.13642105,0.20187712,0.053294837,0.41564947,0.0,-0.11544722,0.9987971328452564,Accepted
FullGrad,0.9987244606018066,97.65288543701172,4.9810357093811035,0.09314057,0.124557264,0.17947672,0.04212433,0.37771273,0.0,-0.16930693,0.9999981346526485,Accepted
KPCA_CAM,0.9910714030265808,17.63855743408203,4.9810357093811035,0.019994207,0.022498162,0.031461775,0.009388186,0.064411104,0.0,0.12717564,0.99964266675046,Accepted
FEM,0.9987244606018066,44.786094665527344,4.9810357093811035,0.050916716,0.05712512,0.07988187,0.023454074,0.16073841,0.0,-0.008436263,0.18644393871572573,Accepted
ShapleyCAM,1.0,107.80245208740234,4.9810357093811035,0.12983277,0.13750313,0.20032889,0.05738146,0.41017956,0.00021763518,0.05465071,0.873715665459095,Accepted
FinerCAM,1.0,248.28109741210938,4.9810357093811035,0.27451336,0.3166851,0.48584247,0.12690945,0.93532985,0.0003324747,0.042470243,0.765089614290522,Accepted
