Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,108.87789154052734,9.934663772583008,0.107830346,0.13887486,0.18512459,0.059517533,0.3701929,0.00062406063,-0.03230333,0.633625823453472,Accepted
HiResCAM,1.0,99.91075897216797,9.934663772583008,0.09898211,0.1274372,0.17987275,0.037489235,0.39287323,0.0003138557,0.006233409,0.13833879915353753,Accepted
GradCAMElementWise,1.0,126.3602294921875,9.934663772583008,0.14291644,0.16117376,0.23170665,0.05377258,0.49521613,0.00016179681,0.043133914,0.772331205467919,Accepted
GradCAMPlusPlus,1.0,140.04910278320312,9.934663772583008,0.13006653,0.17863406,0.23106933,0.06033952,0.4858068,0.00020442158,0.079559855,0.9740962786663143,Accepted
XGradCAM,1.0,185.39776611328125,9.934663772583008,0.22735617,0.23647676,0.33541113,0.13448411,0.59908247,8.994341e-05,0.012671301,0.2768454381881179,Accepted
AblationCAM,1.0,137.5876922607422,9.934663772583008,0.12114089,0.1754945,0.28138128,0.033509497,0.6510209,0.00047796592,0.07987071,0.9746734402528056,Accepted
ScoreCAM,1.0,165.85989379882812,9.934663772583008,0.1694154,0.211556,0.32991788,0.06664826,0.72052354,5.974504e-05,-0.056494087,0.8860244804877505,Accepted
EigenCAM,0.9987244606018066,33.80482482910156,9.934663772583008,0.039204434,0.0431184,0.05962283,0.021260202,0.116895795,0.0,0.070477754,0.9514680919414041,Accepted
EigenGradCAM,1.0,92.75758361816406,9.934663772583008,0.107784346,0.118313245,0.16622774,0.059277423,0.32363984,0.00016465783,0.054111853,0.8699293161394033,Accepted
LayerCAM,1.0,126.3602294921875,9.934663772583008,0.14291644,0.16117376,0.23170665,0.05377258,0.49521613,0.00016179681,0.043133914,0.772331205467919,Accepted
FullGrad,1.0,108.95331573486328,9.934663772583008,0.099570334,0.13897106,0.20396745,0.050329067,0.4251956,0.00012907386,0.050330848,0.8408417993607881,Accepted
KPCA_CAM,0.9272959232330322,20.606422424316406,9.934663772583008,0.015586532,0.0262837,0.038922995,0.005167946,0.08944473,0.0,0.054005012,0.8691684088134887,Accepted
FEM,1.0,91.36866760253906,9.934663772583008,0.0892019,0.11654167,0.14867148,0.038249336,0.3021766,0.00013306737,-0.011016345,0.24189903276379388,Accepted
ShapleyCAM,0.9987244606018066,71.92847442626953,9.934663772583008,0.081233025,0.0917455,0.12782793,0.042286098,0.25582212,0.0,0.08435185,0.9818378621872127,Accepted
FinerCAM,1.0,178.49435424804688,9.934663772583008,0.16554826,0.22767138,0.34808868,0.07724076,0.7536043,0.00031024218,0.040062755,0.737464316624957,Accepted
