Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,129.01666259765625,152.3118896484375,0.12169759,0.16456205,0.24534887,0.052060552,0.5174748,0.0005970299,-0.09442486,0.9918451464698748,Accepted
HiResCAM,1.0,137.06588745117188,152.3118896484375,0.13015509,0.17482893,0.24884069,0.059967596,0.5316813,0.00015074015,-0.07331777,0.9598677109229762,Accepted
GradCAMElementWise,1.0,121.23504638671875,152.3118896484375,0.1256039,0.15463653,0.21697,0.060310975,0.44557768,0.00089365244,-0.10737991,0.9973922399818294,Accepted
GradCAMPlusPlus,1.0,142.49783325195312,152.3118896484375,0.14960645,0.18175744,0.25798345,0.075648196,0.5249381,0.0003349483,0.119951114,0.9992357579201301,Accepted
XGradCAM,1.0,212.0661163330078,152.3118896484375,0.24497768,0.2704925,0.38367885,0.1296388,0.7619234,0.0005966425,-0.047892008,0.819626013696698,Accepted
AblationCAM,1.0,129.02389526367188,152.3118896484375,0.13692422,0.1645713,0.22613128,0.066056386,0.4647774,6.407499e-05,0.068619825,0.9452120740723391,Accepted
ScoreCAM,1.0,129.30479431152344,152.3118896484375,0.12723759,0.16492958,0.22455925,0.062104274,0.46515706,0.0003985092,0.15745774,0.9999905521993058,Accepted
EigenCAM,1.0,131.47055053710938,152.3118896484375,0.105223864,0.16769205,0.2670025,0.045551494,0.58760846,0.00032286346,0.5227335,1.0,Accepted
EigenGradCAM,1.0,118.26696014404297,152.3118896484375,0.09765534,0.1508507,0.2369862,0.033248782,0.53301305,0.0003186129,-0.057268962,0.8909080623569989,Accepted
LayerCAM,1.0,121.23504638671875,152.3118896484375,0.1256039,0.15463653,0.21697,0.060310975,0.44557768,0.00089365244,-0.10737991,0.9973922399818294,Accepted
FullGrad,1.0,154.35614013671875,152.3118896484375,0.18564633,0.19688281,0.28491026,0.10324133,0.55584466,0.00038331747,0.06051021,0.9095698031034205,Accepted
KPCA_CAM,0.9362244606018066,142.5897216796875,152.3118896484375,0.11541272,0.18187463,0.28478068,0.028925333,0.65681416,0.0,0.76142824,1.0,Accepted
FEM,0.9961734414100647,169.72154235839844,152.3118896484375,0.17279121,0.21648157,0.3258636,0.07315102,0.6926074,0.0,0.13664386,0.9998759290683404,Accepted
ShapleyCAM,1.0,213.35792541503906,152.3118896484375,0.25676975,0.2721402,0.3697521,0.124608964,0.7011077,0.00031265616,0.1784536,0.999999507338867,Accepted
FinerCAM,1.0,160.5169677734375,152.3118896484375,0.18592033,0.20474103,0.28926784,0.09054019,0.5867771,0.0020995736,0.21702169,0.9999999991760198,Accepted
