Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,1.0,133.9287872314453,115.37123107910156,0.14208317,0.17082755,0.24059689,0.06641211,0.5017668,2.4572015e-05,0.13018364,0.9997427097020799,Accepted
HiResCAM,1.0,148.98001098632812,115.37123107910156,0.18278451,0.19002551,0.27636668,0.08223376,0.56491137,0.00015076995,-0.13767773,0.9998899323747422,Accepted
GradCAMElementWise,0.9987244606018066,87.61471557617188,115.37123107910156,0.08687672,0.111753464,0.15143833,0.046323285,0.30846024,0.0,-0.035930175,0.6849893160660894,Accepted
GradCAMPlusPlus,1.0,138.45242309570312,115.37123107910156,0.16243261,0.17659748,0.251078,0.085833535,0.4988286,0.000493899,0.30522287,1.0,Accepted
XGradCAM,1.0,124.62860107421875,115.37123107910156,0.12255742,0.15896504,0.25925815,0.047784112,0.55170596,0.00012756139,0.10206908,0.9957749393698181,Accepted
AblationCAM,1.0,183.56776428222656,115.37123107910156,0.20877817,0.23414254,0.32621026,0.10341705,0.6565753,0.00035446882,0.21418795,0.9999999986229267,Accepted
ScoreCAM,1.0,153.89788818359375,115.37123107910156,0.1863712,0.19629835,0.25999752,0.10776875,0.48156756,0.00014644861,-0.027854994,0.5639306048841581,Accepted
EigenCAM,0.9987244606018066,122.3885726928711,115.37123107910156,0.05469866,0.15610787,0.26391488,0.012280032,0.6355245,0.0,0.720765,1.0,Accepted
EigenGradCAM,1.0,126.9733657836914,115.37123107910156,0.13939936,0.16195582,0.22536458,0.07440231,0.44602805,0.00078737736,-0.19626883,0.9999999698795451,Accepted
LayerCAM,0.9987244606018066,87.61471557617188,115.37123107910156,0.08687672,0.111753464,0.15143833,0.046323285,0.30846024,0.0,-0.035930175,0.6849893160660894,Accepted
FullGrad,1.0,111.07302856445312,115.37123107910156,0.13927871,0.14167479,0.1986771,0.07151856,0.37451607,0.0007660687,-0.0014818907,0.033044318156673524,Rejected
KPCA_CAM,0.9311224222183228,127.3509521484375,115.37123107910156,0.081163764,0.16243744,0.25936767,0.014930617,0.61971015,0.0,0.5948197,1.0,Accepted
FEM,1.0,77.96929168701172,115.37123107910156,0.058222223,0.099450625,0.13132071,0.029683974,0.28252923,8.824468e-05,0.13225769,0.9997956942456319,Accepted
ShapleyCAM,1.0,181.32803344726562,115.37123107910156,0.18909234,0.23128575,0.33626527,0.0863089,0.68612534,0.0002529323,0.3314841,1.0,Accepted
FinerCAM,1.0,163.39479064941406,115.37123107910156,0.18269213,0.20841171,0.30028567,0.07943112,0.6239275,0.00039930642,0.04965666,0.8351745938199102,Accepted
