Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
GradCAM,0.9987244606018066,161.33192443847656,185.79246520996094,0.13900438,0.20578052,0.26052004,0.07007104,0.53976774,0.0,0.5398807,1.0,Accepted
HiResCAM,1.0,132.11895751953125,185.79246520996094,0.13574807,0.16851908,0.2429589,0.06642309,0.50389373,0.0002719164,0.2769032,0.9999999999999971,Accepted
GradCAMElementWise,1.0,100.88648986816406,185.79246520996094,0.102559626,0.12868173,0.18175808,0.04785735,0.37850034,0.00013874471,0.21567309,0.9999999989469509,Accepted
GradCAMPlusPlus,1.0,134.30548095703125,185.79246520996094,0.13946632,0.171308,0.23456916,0.07352448,0.47188863,0.00014302135,0.38552818,1.0,Accepted
XGradCAM,1.0,140.220458984375,185.79246520996094,0.17240229,0.17885263,0.24706772,0.09066284,0.48084977,0.00035849214,0.09964229,0.994769501697401,Accepted
AblationCAM,1.0,225.56600952148438,185.79246520996094,0.26010442,0.28771174,0.41713876,0.129873,0.84361285,0.00093746185,0.07206145,0.9563173487781814,Accepted
ScoreCAM,0.9936224222183228,189.450439453125,185.79246520996094,0.22506809,0.24164596,0.3680613,0.09935354,0.7492365,0.0,-0.15864223,0.999991925176075,Accepted
EigenCAM,1.0,253.66421508789062,185.79246520996094,0.3414314,0.32355133,0.47661728,0.15558645,0.8015776,0.00045448542,-0.16067646,0.9999938501147894,Accepted
EigenGradCAM,1.0,221.97552490234375,185.79246520996094,0.3018444,0.28313202,0.42694485,0.119368315,0.8358355,0.0009987652,0.3144825,1.0,Accepted
LayerCAM,1.0,100.88648986816406,185.79246520996094,0.102559626,0.12868173,0.18175808,0.04785735,0.37850034,0.00013874471,0.21567309,0.9999999989469509,Accepted
FullGrad,1.0,106.51478576660156,185.79246520996094,0.11114921,0.13586068,0.19635385,0.050122228,0.41468862,0.00035744905,-0.0046144687,0.1026421606067508,Accepted
KPCA_CAM,1.0,216.0057373046875,185.79246520996094,0.18532851,0.2755175,0.43940407,0.080605134,0.920405,0.00048089027,0.71259135,1.0,Accepted
FEM,0.9795918464660645,147.5961456298828,185.79246520996094,0.14097439,0.18826038,0.26752946,0.055155464,0.580254,0.0,0.2884372,0.9999999999999998,Accepted
ShapleyCAM,1.0,189.4775848388672,185.79246520996094,0.22504956,0.24168058,0.36632422,0.11072403,0.64093477,0.0012622029,0.16451125,0.9999963530184008,Accepted
FinerCAM,1.0,165.65501403808594,185.79246520996094,0.16751656,0.21129468,0.29230326,0.07107936,0.62217206,3.3934106e-05,0.20972951,0.9999999969544083,Accepted
