Method,Percentage of change,Absolute change of Visualization,Absolute change of Adversarial,Median of change,Mean of change,Upper quartile of change,Lower quartile of change,Upper Whisker,Lower Whisker,Pearson Correlation,p-value,Null Hypothesis
Sandal_with_LinfProjectedGradientDescentAttack_on_GradCAM_1,1.0,144.43182373046875,9.909114837646484,0.15341525,0.18422425,0.24981162,0.09822899,0.47490722,9.214878e-05,0.1993913,0.999999982050379,Accepted
Sandal_with_LinfProjectedGradientDescentAttack_on_HiResCAM_1,1.0,130.57017517089844,9.909114837646484,0.16039412,0.16654359,0.23738413,0.07581297,0.4739146,0.0005275607,0.03189272,0.6274997383495312,Accepted
Sandal_with_LinfProjectedGradientDescentAttack_on_GradCAMElementWise_1,1.0,87.99544525146484,9.909114837646484,0.1015205,0.112239085,0.15124312,0.052471466,0.29763275,0.00014005974,0.13795106,0.9998933781825208,Accepted
Sandal_with_LinfProjectedGradientDescentAttack_on_GradCAMPlusPlus_1,1.0,133.21897888183594,9.909114837646484,0.14762984,0.16992217,0.24937683,0.07351631,0.5088757,0.00011405349,0.043288745,0.7739962805099656,Accepted
Sandal_with_LinfProjectedGradientDescentAttack_on_XGradCAM_1,1.0,98.78568267822266,9.909114837646484,0.10037937,0.12600213,0.17495286,0.046016872,0.36743516,0.0002142787,-0.14143623,0.9999292912801246,Accepted
Sandal_with_LinfProjectedGradientDescentAttack_on_AblationCAM_1,1.0,116.84873962402344,9.909114837646484,0.1181391,0.14904176,0.19460629,0.06528905,0.37610522,0.0006222427,0.14200327,0.9999339223724778,Accepted
Sandal_with_LinfProjectedGradientDescentAttack_on_ScoreCAM_1,0.9974489808082581,137.55514526367188,9.909114837646484,0.161909,0.175453,0.23037842,0.08408491,0.44573835,0.0,0.032874115,0.6420376863529473,Accepted
Sandal_with_LinfProjectedGradientDescentAttack_on_EigenCAM_1,1.0,116.23489379882812,9.909114837646484,0.14325275,0.14825879,0.20484138,0.06397053,0.4139905,0.00097462535,-0.2045359,0.9999999924886204,Accepted
Sandal_with_LinfProjectedGradientDescentAttack_on_EigenGradCAM_1,1.0,97.1885986328125,9.909114837646484,0.10682678,0.12396507,0.17816019,0.044993572,0.3644658,0.00028641522,0.12450572,0.9995245216651556,Accepted
Sandal_with_LinfProjectedGradientDescentAttack_on_LayerCAM_1,1.0,87.99544525146484,9.909114837646484,0.1015205,0.112239085,0.15124312,0.052471466,0.29763275,0.00014005974,0.13795106,0.9998933781825208,Accepted
Sandal_with_LinfProjectedGradientDescentAttack_on_FullGrad_1,0.9987244606018066,80.76596069335938,9.909114837646484,0.08488557,0.10301781,0.1432983,0.038310766,0.29858112,0.0,0.06828469,0.9440151353294062,Accepted
Sandal_with_LinfProjectedGradientDescentAttack_on_KPCA_CAM_1,0.954081654548645,50.052703857421875,9.909114837646484,0.03917821,0.063842736,0.09789979,0.017017994,0.21237814,0.0,0.23190197,0.9999999999505892,Accepted
Sandal_with_LinfProjectedGradientDescentAttack_on_FEM_1,0.9936224222183228,94.06230926513672,9.909114837646484,0.10800989,0.11997744,0.16613704,0.06340066,0.31473586,0.0,-0.022907754,0.47813757879344154,Accepted
Sandal_with_LinfProjectedGradientDescentAttack_on_ShapleyCAM_1,1.0,147.69505310058594,9.909114837646484,0.15896833,0.18838654,0.2539767,0.07208313,0.5214429,0.00022152066,-0.079580784,0.9741355823142223,Accepted
Sandal_with_LinfProjectedGradientDescentAttack_on_FinerCAM_1,1.0,225.22491455078125,9.909114837646484,0.274376,0.2872767,0.41361585,0.12277291,0.8470352,0.0017128587,-0.0013239197,0.029523878821975158,Rejected
Sandal_with_LinfDeepFoolAttack_on_GradCAM_1,1.0,134.19761657714844,7.053561210632324,0.12113088,0.17117044,0.2332703,0.060053624,0.49230415,6.479025e-05,0.04834243,0.8236950471157578,Accepted
Sandal_with_LinfDeepFoolAttack_on_HiResCAM_1,1.0,71.21026611328125,7.053561210632324,0.063627735,0.090829425,0.13707475,0.022471227,0.29483116,5.38826e-05,0.07722718,0.9693927788697918,Accepted
Sandal_with_LinfDeepFoolAttack_on_GradCAMElementWise_1,0.9987244606018066,53.55888366699219,7.053561210632324,0.051694497,0.06831491,0.09583273,0.020643331,0.20754918,0.0,0.13777894,0.9998912217656494,Accepted
